 Product Name,No,category,collection,target market,Calculate on Weight,Dimensions(mm) x y z,description (80 word),Price < 25 QTY,Price >=25 QTY,discount cal,Document Link,Discount %,calc,Name on Store,Arabic Name,Available,Hidden,Colors,
Safe-Drop Livebearer Breeding Separator,PTSTLS-1225-011,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,22,110*110*65,"Ensure the survival of your newborn fish with this Safe-Drop Livebearer Breeding Separator.


Specifically designed for live-bearing species like Guppies and Platies, this slotted insert isolates the expectant mother while allowing fry to escape safely through the honeycomb base.


The vertical vents maximize oxygen flow, creating a stress-free birthing environment.


Simply place it in a compatible reservoir to create an instant, effective hatchery that prevents predation.",1.65,1.32,20,https://drive.google.com/file/d/1tkNoc4Mwyk635et1X8130gkr_T9DnETK/view?usp=drive_link,20% Discount,-1.65,【Guppy Birthing Device】Only 20g!,فاصل تفريخ آمن للأسماك الولودة (Safe-Drop),,,"Black,Blue",
Aquatic 12mm Fish Feeder Ring,PTSTLS-1225-012,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,14,95*132*64,"Upgrade your aquarium with the Aquatic 12mm Fish Feeder Ring.


Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.


Its durable construction ensures longevity, making it a perfect fit for any aquascape.


Dimensions: 95*132*64.


Easy to use and clean, it combines functionality with a sleek aesthetic.",1.05,0.84,20,https://drive.google.com/file/d/1uC2CzW1vR14_s_oqIYHDgEo1zo14iiTu/view?usp=drive_link,20% Discount,-1.05,12mm Fish Feeder Ring,حلقة إطعام أسماك مائية 12 مم,,,"Black,White",
Realistic 3D - Background (Wide),PTSTLS-1225-013,Aquarium Decor & Maintenance,Nature Scapes,Aquarium & Reptile Enthusiasts,101,190*105*97,"Upgrade your tank or terrarium with the Realistic 3D - Background (Wide).


Expertly designed for Aquarium & Reptile Enthusiasts, this high-quality accessory provides a realistic and engaging landscape for your pets.


Its durable construction ensures longevity, making it a perfect fit for any habitat.


Dimensions: 190*105*97.


Easy to use and clean, it combines functionality with a sleek aesthetic.",5.05,5.05,0,https://drive.google.com/file/d/1xldu9ZGjwRCICMWU8I-ihIqMtHjoGr2-/view?usp=drive_link,,5.05,3D - Background (Wide),خلفية ثلاثية الأبعاد واقعية (عريضة),,,"Black,White,,Blue",
Realistic 3D Back Wall ( Stone Desert ),PTSTLS-1225-014,Aquarium Decor & Maintenance,Nature Scapes,Aquarium & Reptile Enthusiasts,101,190*82*129,"Upgrade your tank or terrarium with the Realistic 3D Back Wall ( Stone Desert ).


Expertly designed for Aquarium & Reptile Enthusiasts, this high-quality accessory provides a realistic and engaging landscape for your pets.


Its durable construction ensures longevity, making it a perfect fit for any habitat.


 Easy to use and clean, it combines functionality with a sleek aesthetic.",5.05,5.05,0,https://drive.google.com/file/d/1_kG5fsC4-U9bxZl5y5JXade_43Ye99hU/view?usp=drive_link,,5.05,3D Back Wall ( Stone Desert ),جدار خلفي ثلاثي الأبعاد واقعي (صحراء صخرية),,,Black,
Realistic 3D Partial Background ( Stone Plate,PTSTLS-1225-015,Aquarium Decor & Maintenance,Nature Scapes,Aquarium & Reptile Enthusiasts,73,145*66*140,"Upgrade your tank or terrarium with the Realistic 3D Partial Background ( Stone Plate.


Expertly designed for Aquarium & Reptile Enthusiasts, this high-quality accessory provides a realistic and engaging landscape for your pets.


Its durable construction ensures longevity, making it a perfect fit for any habitat.


Dimensions: 145*66*140.


Easy to use and clean, it combines functionality with a sleek aesthetic.",3.65,3.65,0,https://drive.google.com/file/d/1CJI99eSwvGaFsz2ryCLV6SMdlrQDjbOI/view?usp=drive_link,,3.65,3D Partial Background ( Stone Plate,خلفية جزئية ثلاثية الأبعاد واقعية (لوح حجري),,,Black,
Aquatic Anicent Ruin,PTSTLS-1225-016,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,104,119*139*91,"Upgrade your aquarium with the Aquatic Anicent Ruin.


Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.


Its durable construction ensures longevity, making it a perfect fit for any aquascape.


Dimensions: 119*139*91.


Easy to use and clean, it combines functionality with a sleek aesthetic.",5.2,5.2,0,https://drive.google.com/file/d/1AbyNGrigJDdxufQKmeqeESaVF4hS9YY2/view?usp=drive_link,,5.2,Anicent Ruin,أطلال قديمة للأحواض المائية,,,Black,
Realistic Log With a hole Reptile hide,PTSTLS-1225-017,Aquarium Decor & Maintenance,Nature Scapes,Aquarium & Reptile Enthusiasts,15,76*46*41 / 152*92*82,"Upgrade your tank or terrarium with the Realistic Another Log With a hole Reptile hide.


Expertly designed for Aquarium & Reptile Enthusiasts, this high-quality accessory provides a realistic and engaging landscape for your pets.


Its durable construction ensures longevity, making it a perfect fit for any habitat.


Dimensions: 76*46*41 / 152*92*82.


Easy to use and clean, it combines functionality with a sleek aesthetic.",1.125,0.9,20,https://drive.google.com/file/d/1tsbkjaN3Wsh7Z4kMnyA5w3ArBoDxOiuf/view?usp=drive_link,20% Discount,-1.125,Another Log With a hole Reptile hide,جذع شجر واقعي بفتحة لمخبأ الزواحف,,,Black,
Interactive Anti-Cat Closet Spikes (*6 pieces),PTSTLS-1225-018,Pet Supplies - Cat Toys & Furniture,Feline Fun & Comfort,Cat Owners,95,300 * 231 * 12.4,"Upgrade your home with the Interactive Anti-Cat Closet Spikes (*6 pieces).


Expertly designed for Cat Owners, this high-quality accessory provides hours of entertainment and comfort for your feline friend.


Its durable construction ensures longevity, making it a perfect fit for any play area.


Dimensions: 300 * 231 * 12.4.


Easy to use and clean, it combines functionality with a sleek aesthetic.",4.75,4.75,0,https://drive.google.com/file/d/1irij4ZMC2FvNcBlZcRZQ7yAS2scftSOk/view?usp=drive_link,,4.75,Anti-Cat Closet Spikes (*6 pieces),أشواك تفاعلية لخزائن الملابس لمنع القطط (6 قطع),,,"Black,,Blue",
Aquatic Aquarium Corner Cave,PTSTLS-1225-019,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,71,155*155*49,"Upgrade your aquarium with the Aquatic Aquarium Corner Cave.


Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.


Its durable construction ensures longevity, making it a perfect fit for any aquascape.


Dimensions: 155*155*49.


Easy to use and clean, it combines functionality with a sleek aesthetic.",3.55,3.55,0,https://drive.google.com/file/d/1SiNaLCKlX9BZzuF3jW10LZ9WM7P7xEZ2/view?usp=drive_link,,3.55,Aquarium Corner Cave,كهف زاوية لحوض السمك,,,"Black,White,,",
Aquatic Aquarium Divider for 20gallon long fish tank,PTSTLS-1225-020,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,279,7.6 * 280 * 299,"Upgrade your aquarium with the Aquatic Aquarium Divider for 20gallon long fish tank.


Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.


Its durable construction ensures longevity, making it a perfect fit for any aquascape.


Dimensions: 7.6 * 280 * 299.


Easy to use and clean, it combines functionality with a sleek aesthetic.",11.16,11.16,0,https://drive.google.com/file/d/1h2-CKn_x9V-qGGNRhQ1O7uV0bal7TZ38/view?usp=drive_link,,11.16,Aquarium Divider for 20gallon long fish tank,فاصل حوض سمك (لحوض 20 جالون طويل),,,"Black,White,,",
Aquatic Aquarium floating fish feeder,PTSTLS-1225-021,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,13,70*70*50,"Upgrade your aquarium with the Aquatic Aquarium floating fish feeder.


Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.


Its durable construction ensures longevity, making it a perfect fit for any aquascape.


Dimensions: 70*70*50.


Easy to use and clean, it combines functionality with a sleek aesthetic.",0.975,0.78,20,https://drive.google.com/file/d/1iZWxZNJZf0pSfpD6xEOk-n-5jASAt_5_/view?usp=drive_link,20% Discount,-0.975,Aquarium floating fish feeder,مغذي أسماك عائم للحوض,,,Black,
Aquatic Aquarium hiding place for shrimp,PTSTLS-1225-022,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,92,151.3 * 46.5 * 64.3,"Upgrade your aquarium with the Aquatic Aquarium hiding place for shrimp.


Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.


Its durable construction ensures longevity, making it a perfect fit for any aquascape.


Dimensions: 151.3 * 46.5 * 64.3.


Easy to use and clean, it combines functionality with a sleek aesthetic.",4.6,4.6,0,https://drive.google.com/file/d/1y_c0aujRqcPs1l1X_8fWE08TthGVsdHS/view?usp=drive_link,,4.6,Aquarium hiding place for shrimp,مخبأ للروبيان في حوض السمك,,,"Black,White,,",
Aquatic Aquarium Hose Clamp (Fully Printable),PTSTLS-1225-023,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,59,55 * 70.6 * 96,"Upgrade your aquarium with the Aquatic Aquarium Hose Clamp (Fully Printable).


Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.


Its durable construction ensures longevity, making it a perfect fit for any aquascape.


Dimensions: 55 * 70.6 * 96.


Easy to use and clean, it combines functionality with a sleek aesthetic.",3.54,2.95,16.66666667,https://drive.google.com/file/d/15ahxJ8mTzFkv_JEdg0fSnyaiTV-o3RjR/view?usp=drive_link,16.67% Discount,-2.36,Aquarium Hose Clamp (Fully Printable),مشبك خرطوم حوض السمك (قابل للطباعة بالكامل),,,"Black,White,,",
Aquatic Aquarium java moss tower,PTSTLS-1225-024,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,29,40*40*160,"Upgrade your aquarium with the Aquatic Aquarium java moss tower.


Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.


Its durable construction ensures longevity, making it a perfect fit for any aquascape.


Dimensions: 40*40*160.


Easy to use and clean, it combines functionality with a sleek aesthetic.",2.175,1.74,20,https://drive.google.com/file/d/1MrU-tVUU-yUHrci6SHxnZCW7Ol0nj6EF/view?usp=drive_link,20% Discount,-2.175,Aquarium java moss tower,برج طحالب الجافا للحوض,,,Black,
Aquatic Aquarium observation cave,PTSTLS-1225-025,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,86,150*80*70,"Upgrade your aquarium with the Aquatic Aquarium observation cave.


Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.


Its durable construction ensures longevity, making it a perfect fit for any aquascape.


Dimensions: 150*80*70.


Easy to use and clean, it combines functionality with a sleek aesthetic.",4.3,4.3,0,https://drive.google.com/file/d/1cmZRD1ajej6ENX59-GHDNJQc0cFZy8gj/view?usp=drive_link,,4.3,Aquarium observation cave,كهف مراقبة لحوض السمك,,,Black,
Aquatic Aquarium planter,PTSTLS-1225-026,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,11,40*40*40,"Upgrade your aquarium with the Aquatic Aquarium planter.


Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.


Its durable construction ensures longevity, making it a perfect fit for any aquascape.


Dimensions: 40*40*40.


Easy to use and clean, it combines functionality with a sleek aesthetic.",0.825,0.66,20,https://drive.google.com/file/d/1Shobmh1cKrvnqkUgSDuhOBae_xuJfsm_/view?usp=drive_link,20% Discount,-0.825,Aquarium planter,أصيص نباتات لحوض السمك,,,"Black,White,,",
Aquatic Aquarium Rock Decor,PTSTLS-1225-027,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,38,93*91*67,"Upgrade your aquarium with the Aquatic Aquarium Rock Decor.


Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.


Its durable construction ensures longevity, making it a perfect fit for any aquascape.


Dimensions: 93*91*67.


Easy to use and clean, it combines functionality with a sleek aesthetic.",2.28,1.9,16.66666667,https://drive.google.com/file/d/12QLeSb7OCkdZh-Lb7OfcoYV51wAX7tHr/view?usp=drive_link,16.67% Discount,-1.52,Aquarium Rock Decor,ديكور صخور لحوض السمك,,,Black,
Aquatic Aquarium Scoop,PTSTLS-1225-028,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,27,75*60*431,"Upgrade your aquarium with the Aquatic Aquarium Scoop.


Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.


Its durable construction ensures longevity, making it a perfect fit for any aquascape.


Dimensions: 75*60*431.


Easy to use and clean, it combines functionality with a sleek aesthetic.",2.025,1.62,20,https://drive.google.com/file/d/1-e4SVGAkiM4TFO9zA4HI2xEek9qh_A0x/view?usp=drive_link,20% Discount,-2.025,Aquarium Scoop,مغرفة حوض السمك,,,Black,
Aquatic Aquarium Shrimp Tunnel,PTSTLS-1225-029,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,57,200*40*60,"Upgrade your aquarium with the Aquatic Aquarium Shrimp Tunnel.


Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.


Its durable construction ensures longevity, making it a perfect fit for any aquascape.


Dimensions: 200*40*60.


Easy to use and clean, it combines functionality with a sleek aesthetic.",3.42,2.85,16.66666667,https://drive.google.com/file/d/1u5bgamXBvMQMc2LWrfOoJDUCeZJCiDpU/view?usp=drive_link,16.67% Discount,-2.28,Aquarium Shrimp Tunnel,نفق للروبيان في حوض السمك,,,"White,,",
Aquatic Aquarium Terrarium Craggy Rock Castl,PTSTLS-1225-030,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,85,130*118*138,"Upgrade your aquarium with the Aquatic Aquarium Terrarium Craggy Rock Castl.


Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.


Its durable construction ensures longevity, making it a perfect fit for any aquascape.


Dimensions: 130*118*138.


Easy to use and clean, it combines functionality with a sleek aesthetic.",4.25,4.25,0,https://drive.google.com/file/d/1e8sYXGsmUDo2OYCl6O-0X5hqpGSvxiho/view?usp=drive_link,,4.25,Aquarium Terrarium Craggy Rock Castl,قلعة صخرية وعرة للتراريوم/الأحواض,,,"Black,White,,",
Aquatic Aquarium Tower,PTSTLS-1225-031,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,65,120*60*206,"Upgrade your aquarium with the Aquatic Aquarium Tower.


Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.


Its durable construction ensures longevity, making it a perfect fit for any aquascape.


Dimensions: 120*60*206.


Easy to use and clean, it combines functionality with a sleek aesthetic.",3.25,3.25,0,https://drive.google.com/file/d/1S8T37YnpYPqGEeuGxNuGL_jymhysq0l8/view?usp=drive_link,,3.25,Aquarium Tower,برج حوض سمك,,,Black,
Aquatic Aquarium Tunnel,PTSTLS-1225-032,Aquarium Decor & Maintenance,The Aquascape Series,Aquarium Hobbyists,96,177*50*82,"Upgrade your aquarium with the Aquatic Aquarium Tunnel.


Expertly designed for Aquarium Hobbyists, this high-quality accessory provides enrichment for your aquatic life while beautifying the tank.


Its durable construction ensures longevity, making it a perfect fit for any aquascape.


Dimensions: 177*50*82.


Easy to use and clean, it combines functionality with a sleek aesthetic.",4.8,4.8,0,https://drive.google.com/file/d/1ppJELxbGW6zkIQWZDyNasaxLi4F89Tbr/view?usp=drive_link,,4.8,Aquarium Tunnel,نفق حوض سمك,,,"White,,",
Naturalistic Aquatic Turtle Terrarium,PTSTLS-1225-033,Aquarium Decor & Maintenance,Reptile Realms,Reptile Keepers & Turtle Owners,245,196*180*103,"Upgrade your terrarium or tank with the Naturalistic Aquatic Turtle Terrarium.


Expertly designed for Reptile Keepers & Turtle Owners, this high-quality accessory provides a naturalistic environment for rest and exploration.


Its durable construction ensures longevity, making it a perfect fit for any habitat.


Dimensions: 196*180*103.


Easy to use and clean, it combines functionality with a sleek aesthetic.",9.8,9.8,0,https://drive.google.com/file/d/1MiNjlm1TQt6s1NsJd41cpasZjX5J-5XR/view?usp=drive_link,,9.8,Aquatic Turtle Terrarium,تراريوم مائي طبيعي للسلاحف,,,Black,
Interactive Batman Cat Mask,PTSTLS-1225-034,Pet Supplies - Cat Toys & Furniture,Feline Fun & Comfort,Cat Owners,52,97.7 * 135 * 57,"Upgrade your home with the Interactive Batman Cat Mask.


Expertly designed for Cat Owners, this high-quality accessory provides hours of entertainment and comfort for your feline friend.


Its durable construction ensures longevity, making it a perfect fit for any play area.


Dimensions: 97.7 * 135 * 57.


Easy to use and clean, it combines functionality with a sleek aesthetic.",3.12,2.6,16.66666667,https://drive.google.com/file/d/1LBnHXCUBR1f5DggLAD4T_Fz3GmvpY3Ld/view?usp=drive_link,16.67% Discount,-2.08,Batman Cat Mask,قناع باتمان التفاعلي للقطط,,,"Black,White,,",
Avian Bird house,PTSTLS-1225-035,Pet Supplies - Bird Feeders & Toys,Avian Adventures,Bird Watchers & Owners,567,175.2 * 240 * 150,"Upgrade your garden or cage with the Avian Bird house.


Expertly designed for Bird Watchers & Owners, this high-quality accessory provides a stimulating and safe environment for birds.


Its durable construction ensures longevity, making it a perfect fit for any outdoor or indoor space.


Dimensions: 175.2 * 240 * 150.


Easy to use and clean, it combines functionality with a sleek aesthetic.",22.68,22.68,0,https://drive.google.com/file/d/15dCzL_ZY9oVC-4a0__lw7N3VLix1ZpIO/view?usp=drive_link,,22.68,Bird house,بيت طيور,,,"Black,White,,Blue",
Avian Bird House - ForNature,PTSTLS-1225-036,Pet Supplies - Bird Feeders & Toys,Avian Adventures,Bird Watchers & Owners,230,137*250*185,"Upgrade your garden or cage with the Avian Bird House - PrintForNature.


Expertly designed for Bird Watchers & Owners, this high-quality accessory provides a stimulating and safe environment for birds.


Its durable construction ensures longevity, making it a perfect fit for any outdoor or indoor space.


Dimensions: 137*250*185.


Easy to use and clean, it combines functionality with a sleek aesthetic.",9.2,9.2,0,https://drive.google.com/file/d/1pROwCDPo0jjM_WqnSQoVtvRGvPBBYXsp/view?usp=drive_link,,9.2,Bird House - PrintForNature,بيت طيور - ForNature,,,White,
